,trial_id,overall_average_accuracy,parser,mode,chunk_size,chunk_overlap,chunker,embedder,retriever,k,llm_model,default_prompt_type,query_embedding,use_default_prompt
0,0,0.18,GeminiParser,rag,750,0,LengthChunker,BGEEmbedder,TopKRetriever,3,deepseek-ai/DeepSeek-R1-Distill-Qwen-14B,reasoning_prompt,raw,False
1,0,0.22,GeminiParser,rag,2500,750,LengthChunker,BGEEmbedder,TopKRetriever,3,openai/gpt-oss-20b,true_few_shot_prompt,label_def,True
2,2,0.05,PyMuPDFParser,rag,2500,0,LengthChunker,BGEEmbedder,TopKRetriever,5,meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,reasoning_prompt,raw,True
3,2,0.28,PyMuPDFParser,rag,500,0,LengthChunker,BGEEmbedder,TopKRetriever,3,meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,rewritten_prompt,raw,True
4,4,0.38,QwenParser,rag,1000,250,LengthChunker,BGEEmbedder,TopKRetriever,5,gpt-4.1-2025-04-14,base_prompt,label_def,False
5,4,0.06,MinerUParser,rag,2500,0,LengthChunker,BGEEmbedder,TopKRetriever,20,arcee-ai/maestro-reasoning,base_prompt,raw,True
6,5,0.24,MinerUParser,rag,250,0,LengthChunker,BGEEmbedder,TopKRetriever,3,meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,true_few_shot_prompt,label_def,False
7,6,0.37333333333333335,PyMuPDFParser,rag,1000,750,LengthChunker,BGEEmbedder,TopKRetriever,5,deepseek-ai/DeepSeek-R1-Distill-Llama-70B-free,synthetic_few_shot_prompt,label_def,True
8,6,0.22,PyMuPDFParser,rag,100,0,LengthChunker,BGEEmbedder,TopKRetriever,20,mistralai/Mistral-Small-24B-Instruct-2501,rewritten_prompt,label_def,False
9,7,0.16666666666666666,GeminiParser,rag,100,0,LengthChunker,BGEEmbedder,TopKRetriever,3,arcee-ai/AFM-4.5B,rewritten_prompt,label_def,False
10,8,0.22,GeminiParser,rag,5000,750,LengthChunker,BGEEmbedder,TopKRetriever,10,gpt-4.1-2025-04-14,reasoning_prompt,raw,False
11,8,0.23333333333333334,QwenParser,rag,5000,250,LengthChunker,BGEEmbedder,TopKRetriever,3,meta-llama/Llama-4-Scout-17B-16E-Instruct,rewritten_prompt,label_def,False
12,9,0.2733333333333333,PyMuPDFParser,rag,5000,0,LengthChunker,BGEEmbedder,TopKRetriever,1,zai-org/GLM-4.5-Air-FP8,synthetic_few_shot_prompt,label_def,False
13,10,0.25,QwenParser,rag,1000,250,LengthChunker,BGEEmbedder,TopKRetriever,1,openai/gpt-oss-20b,synthetic_few_shot_prompt,label_def,True
14,14,0.37,PyMuPDFTesseractParser,rag,1000,750,LengthChunker,BGEEmbedder,TopKRetriever,5,moonshotai/Kimi-K2-Instruct,base_prompt,label_def,False
15,16,0.14,QwenParser,rag,1000,750,LengthChunker,BGEEmbedder,TopKRetriever,10,arcee-ai/AFM-4.5B,synthetic_few_shot_prompt,label_def,True
16,17,0.23,GeminiParser,rag,1000,750,LengthChunker,BGEEmbedder,TopKRetriever,5,moonshotai/Kimi-K2-Instruct,synthetic_few_shot_prompt,raw,False
17,18,0.27,GROBIDParser,rag,5000,750,LengthChunker,BGEEmbedder,TopKRetriever,3,meta-llama/Llama-4-Scout-17B-16E-Instruct,base_prompt,label_def,False
18,20,0.18,QwenParser,rag,2500,750,LengthChunker,BGEEmbedder,TopKRetriever,3,deepseek-ai/DeepSeek-R1-Distill-Qwen-14B,base_prompt,label_def,False
19,21,0.29,GROBIDParser,rag,2500,0,LengthChunker,BGEEmbedder,TopKRetriever,20,openai/gpt-oss-20b,reasoning_prompt,label_def,False
20,22,0.08,GeminiParser,rag,2500,750,LengthChunker,BGEEmbedder,TopKRetriever,3,openai/gpt-oss-120b,reasoning_prompt,raw,True
21,26,0.27,QwenParser,rag,1000,0,LengthChunker,BGEEmbedder,TopKRetriever,1,gpt-4.1-2025-04-14,true_few_shot_prompt,raw,False
22,27,0.26,PyMuPDFParser,rag,100,0,LengthChunker,BGEEmbedder,TopKRetriever,5,deepseek-ai/DeepSeek-R1-Distill-Qwen-14B,synthetic_few_shot_prompt,raw,False
23,28,0.21,PyMuPDFParser,rag,750,0,LengthChunker,BGEEmbedder,TopKRetriever,5,arcee-ai/maestro-reasoning,synthetic_few_shot_prompt,label_def,False
24,31,0.12,PyMuPDFTesseractParser,rag,100,0,LengthChunker,BGEEmbedder,TopKRetriever,20,deepseek-ai/DeepSeek-R1-Distill-Qwen-14B,reasoning_prompt,label_def,False
25,37,0.04,GeminiParser,rag,750,0,LengthChunker,BGEEmbedder,TopKRetriever,10,arcee-ai/maestro-reasoning,true_few_shot_prompt,raw,True
26,38,0.2,PyMuPDFParser,rag,5000,0,LengthChunker,BGEEmbedder,TopKRetriever,10,arcee-ai/AFM-4.5B,true_few_shot_prompt,raw,False
